"id";"id_uczelnia";"typ";"path"
"2575";"9";"galeria";"13630814902434.jpg"
"2576";"9";"galeria";"13630814793272.jpg"
"2577";"9";"galeria";"13630814686533.jpg"
"2578";"9";"galeria";"13630814487642.jpg"
"2579";"9";"galeria";"13630814419367.jpg"
"2580";"9";"galeria";"13630814265704.jpg"
"2581";"9";"galeria";"13630814144207.jpg"
"2582";"9";"galeria";"13630814055489.jpg"
"2597";"329";"logo";"13351750161292.jpg"
"2598";"329";"galeria";"13351750393299.jpg"
"2599";"329";"galeria";"13351750342448.jpg"
"2600";"329";"galeria";"13351750282365.jpg"
"2601";"329";"galeria";"13351750393299.jpg"
"2602";"329";"galeria";"13351750342448.jpg"
"2603";"329";"galeria";"13351750282365.jpg"
"3106";"121";"logo";"13409630131364.jpg"
"3107";"121";"galeria";"13409643245004.jpg"
"3108";"121";"galeria";"13409642061653.jpg"
"3109";"121";"galeria";"13409640912675.jpg"
"3110";"121";"galeria";"13409640871007.jpg"
"3214";"972";"logo";"13523808057854.jpg"
"3220";"809";"logo";"13516100152597.gif"
"3231";"543";"logo";"13445048648126.jpg"
"3232";"543";"galeria";"13449525692797.jpg"
"3233";"543";"galeria";"13445049692889.jpg"
"3234";"543";"galeria";"13445049616669.png"
"3235";"543";"galeria";"13445049557997.png"
"3241";"633";"logo";"13430452475446.png"
"3242";"633";"galeria";"13430459033109.jpg"
"3243";"633";"galeria";"13430458996599.jpg"
"3244";"633";"galeria";"13430458956854.jpg"
"3245";"633";"galeria";"13430458914850.jpg"
"3246";"633";"galeria";"13430458859807.jpg"
"3247";"633";"galeria";"13430458774994.jpg"
"3248";"633";"galeria";"13430458715787.jpg"
"3249";"633";"galeria";"13430458653570.jpg"
"3252";"974";"logo";"13602459506285.gif"
"3253";"985";"logo";"13642081677718.jpg"
"3309";"987";"logo";"13673124667527.jpg"
"3310";"987";"galeria";"13678389822855.jpg"
"3311";"987";"galeria";"13678389713668.jpg"
"3312";"987";"galeria";"13678389253688.jpg"
"3313";"987";"galeria";"13673250326389.jpg"
"3314";"987";"galeria";"13673250256720.jpg"
"3315";"987";"galeria";"13673250126450.jpg"
"3316";"987";"galeria";"13673250061669.jpg"
"3362";"554";"logo";"13679198357710.jpg"
"3364";"973";"logo";"13602307744205.jpg"
"3365";"631";"logo";"13422188196265.jpg"
"3366";"423";"logo";"13407060717969.jpg"
"3367";"423";"galeria";"13407060999438.jpg"
"3368";"423";"galeria";"13407060924233.jpg"
"3369";"423";"galeria";"13407060852669.jpg"
"3370";"423";"galeria";"13407060801943.jpg"
"3371";"399";"logo";"13551338263692.jpg"
"3372";"393";"logo";"13540954654257.jpg"
"3401";"301";"logo";"13399581368867.jpg"
"3463";"371";"logo";"13657569602629.jpg"
"3464";"371";"galeria";"13657570454032.jpg"
"3465";"371";"galeria";"13657569896479.jpg"
"3466";"371";"galeria";"13657569827576.jpg"
"3467";"371";"galeria";"13657569807220.jpg"
"3485";"321";"logo";"13614380728780.jpg"
"3486";"321";"galeria";"13614485101864.jpg"
"3487";"321";"galeria";"13614485045760.jpg"
"3488";"321";"galeria";"13614484988415.jpg"
"3489";"321";"galeria";"13614484927258.jpg"
"3490";"321";"galeria";"13614483607709.jpg"
"3491";"321";"galeria";"13614469981691.jpg"
"3505";"132";"logo";"13613501585432.jpg"
"3511";"109";"logo";"13444214283886.png"
"3512";"109";"galeria";"13444233229811.jpg"
"3513";"109";"galeria";"13444233193759.jpg"
"3514";"109";"galeria";"13444233177395.jpg"
"3515";"109";"galeria";"13444233135766.jpg"
"3516";"105";"logo";"13557513622711.gif"
"3517";"105";"galeria";"13557518535065.jpg"
"3518";"105";"galeria";"13557518433400.jpg"
"3519";"105";"galeria";"13557518352197.jpg"
"3520";"105";"galeria";"13557518271426.jpg"
"3526";"93";"logo";"13530685172532.jpg"
"3527";"93";"galeria";"13534099156766.jpg"
"3528";"93";"galeria";"13530685367580.jpg"
"3529";"93";"galeria";"13530685321212.jpg"
"3530";"93";"galeria";"13530685283877.jpg"
"3702";"627";"logo";"13400204547998.jpg"
"3703";"627";"galeria";"13693266202880.jpeg"
"3704";"627";"galeria";"13693266161169.jpg"
"3705";"627";"galeria";"13693266138324.jpg"
"3706";"627";"galeria";"13693266115829.jpg"
"3826";"413";"logo";"13399520399271.jpg"
"3827";"413";"galeria";"13399520738178.jpg"
"3828";"413";"galeria";"13399520697585.jpg"
"3829";"413";"galeria";"13399520559187.jpg"
"3830";"413";"galeria";"13399520519244.jpg"
"3831";"413";"galeria";"13399520489163.jpg"
"3872";"989";"logo";"13678426183692.jpg"
"3873";"989";"galeria";"13678429168995.jpg"
"3874";"989";"galeria";"13678429119261.jpg"
"3875";"989";"galeria";"13678429067220.jpg"
"3876";"989";"galeria";"13678428945480.jpg"
"3877";"989";"galeria";"13678428904064.jpg"
"3878";"989";"galeria";"13678428822271.jpg"
"3879";"989";"galeria";"13678428775034.jpg"
"3880";"989";"galeria";"13678428711984.jpg"
"3881";"989";"galeria";"13678428564619.jpg"
"3882";"989";"galeria";"13678428514778.jpg"
"3883";"989";"galeria";"13678428357759.jpg"
"3884";"989";"galeria";"13678428261341.jpg"
"4038";"335";"logo";"13554809081210.jpg"
"4039";"335";"galeria";"13559980375021.jpg"
"4040";"335";"galeria";"13559980355760.jpg"
"4041";"335";"galeria";"13559979738487.jpg"
"4042";"335";"galeria";"13559978823015.jpg"
"4043";"335";"galeria";"13559973448138.jpg"
"4044";"335";"galeria";"13559973372960.jpg"
"4045";"335";"galeria";"13559972948707.jpg"
"4046";"335";"galeria";"13559972845480.jpg"
"4047";"335";"galeria";"13559972755153.jpg"
"4048";"335";"galeria";"13554809229001.jpg"
"4049";"335";"galeria";"13554809161739.jpg"
"4322";"216";"logo";"13557380456207.jpg"
"4323";"216";"galeria";"13557380409931.jpg"
"4324";"216";"galeria";"13557380377537.jpg"
"4325";"216";"galeria";"13557380323821.jpg"
"4326";"216";"galeria";"13557380291381.jpg"
"4327";"216";"galeria";"13557380217860.jpg"
"4328";"216";"galeria";"13557380163590.jpg"
"4329";"216";"galeria";"13557380114559.jpg"
"4421";"424";"logo";"13351818406663.jpg"
"4422";"424";"galeria";"13351818644499.jpg"
"4423";"424";"galeria";"13351818553461.jpg"
"4424";"424";"galeria";"13351818489184.jpg"
"4584";"125";"logo";"13720856085958.jpg"
"4585";"125";"galeria";"13717338926555.jpg"
"4586";"125";"galeria";"13717338834864.jpg"
"4587";"125";"galeria";"13717338798110.jpg"
"4588";"125";"galeria";"13717338711886.jpg"
"4589";"125";"galeria";"13717338675943.jpg"
"4590";"125";"galeria";"13717338636394.jpg"
"4591";"125";"galeria";"13717338454978.jpg"
"4592";"125";"galeria";"13717338321398.jpg"
"4593";"125";"galeria";"13717338173661.jpg"
"4594";"125";"galeria";"13717338117285.jpg"
"4622";"341";"logo";"13721636022493.jpg"
"4623";"341";"galeria";"13721635732929.jpg"
"4624";"341";"galeria";"13721635689221.jpg"
"4625";"341";"galeria";"13721635299041.jpg"
"4626";"341";"galeria";"13721634933564.jpg"
"4627";"341";"galeria";"13721634446683.jpg"
"4742";"163";"logo";"13711212412433.jpg"
"4743";"163";"galeria";"13715494784608.jpg"
"4744";"163";"galeria";"13715494739814.jpg"
"4745";"163";"galeria";"13715483179540.jpg"
"4746";"163";"galeria";"13715483082947.jpg"
"4747";"163";"galeria";"13715482988932.jpg"
"4748";"163";"galeria";"13715482894583.jpg"
"4749";"163";"galeria";"13715482706227.jpg"
"4750";"163";"galeria";"13714751944990.jpg"
"4751";"163";"galeria";"13714751897226.jpg"
"4752";"163";"galeria";"13714751847664.jpg"
"4753";"163";"galeria";"13714751788697.jpg"
"4754";"163";"galeria";"13714751736447.jpg"
"4755";"163";"galeria";"13714751673143.jpg"
"4756";"163";"galeria";"13714751621402.jpg"
"4757";"163";"galeria";"13714751425388.jpg"
"4758";"163";"galeria";"13714751376266.jpg"
"4791";"997";"logo";"13709375773971.jpg"
"4792";"997";"galeria";"13714609606196.jpg"
"4793";"997";"galeria";"13714609559809.jpg"
"4794";"997";"galeria";"13714609499525.jpg"
"4795";"997";"galeria";"13714609382271.jpg"
"4847";"455";"logo";"13733737762821.jpg"
"4848";"455";"galeria";"13732801922729.jpg"
"4849";"455";"galeria";"13732801257262.jpg"
"4850";"455";"galeria";"13732801106412.jpg"
"4851";"455";"galeria";"13732801032086.jpg"
"4925";"194";"logo";"13656709359053.jpg"
